day_name,crash_hour,n,injury_crashes,rate,ci_low,ci_high,rate_pct,ci_low_pct,ci_high_pct,reliable
Tuesday,8,4462,1707,0.3825638727028238,0.3684100216408042,0.3969197652463974,38.25638727028238,36.84100216408042,39.69197652463974,True
Tuesday,9,3869,1431,0.3698630136986301,0.3547868078985594,0.38519739388237584,36.986301369863014,35.478680789855936,38.51973938823758,True
Tuesday,10,3445,1191,0.34571843251088535,0.33001620590026287,0.3617643618126759,34.57184325108854,33.001620590026285,36.17643618126759,True
Tuesday,11,3486,1339,0.38410786001147446,0.36809758208897697,0.40037328489822394,38.41078600114744,36.8097582088977,40.03732848982239,True
Tuesday,12,3620,1388,0.3834254143646409,0.36771764369963,0.39938034424774604,38.34254143646409,36.771764369963,39.93803442477461,True
Tuesday,13,3669,1441,0.39275006813845736,0.37706767628929144,0.4086568156136537,39.275006813845735,37.70676762892914,40.86568156136537,True
Tuesday,14,4134,1690,0.4088050314465409,0.39391012016529464,0.42386927477336134,40.88050314465409,39.391012016529466,42.38692747733614,True
Tuesday,15,4441,1883,0.4240036027921639,0.4095405762748187,0.43859799406253597,42.40036027921639,40.95405762748187,43.8597994062536,True
Tuesday,16,4612,2003,0.43430182133564615,0.4200569613417436,0.4486560378218327,43.430182133564614,42.00569613417436,44.86560378218327,True
Tuesday,17,4674,2054,0.43945228925973473,0.4252787865466546,0.4537252395836873,43.945228925973474,42.52787865466546,45.37252395836873,True
Tuesday,18,4142,1864,0.45002414292612264,0.4349264210606689,0.4652144815729484,45.002414292612265,43.492642106066896,46.52144815729484,True
Tuesday,19,3457,1605,0.4642753832803008,0.447699092099649,0.48093098446900995,46.42753832803008,44.7699092099649,48.093098446900996,True
Tuesday,20,2818,1322,0.4691270404542229,0.45075577905289205,0.4875823615429515,46.91270404542229,45.07557790528921,48.75823615429515,True
Tuesday,21,2500,1187,0.4748,0.45527855772157977,0.49439877010938194,47.48,45.52785577215798,49.43987701093819,True
Tuesday,22,2252,1027,0.45603907637655416,0.43556026271508475,0.4766676171147756,45.60390763765542,43.55602627150847,47.66676171147756,True
Tuesday,23,1996,844,0.4228456913827655,0.4013415344702274,0.44464626776370947,42.28456913827655,40.13415344702274,44.46462677637095,True
Wednesday,0,2578,1004,0.3894491854150504,0.3708034437518364,0.40842391086201746,38.94491854150504,37.080344375183635,40.842391086201744,True
Wednesday,1,1126,416,0.369449378330373,0.341745836282199,0.39804069662648484,36.9449378330373,34.1745836282199,39.80406966264848,True
Wednesday,2,872,296,0.3394495412844037,0.3087852727343393,0.3715222166564363,33.94495412844037,30.87852727343393,37.15222166564363,True
Wednesday,3,717,248,0.3458856345885635,0.3119732875234053,0.3814406330938287,34.58856345885635,31.197328752340532,38.14406330938287,True
Wednesday,4,788,275,0.3489847715736041,0.3165095154792524,0.3829253209829895,34.89847715736041,31.65095154792524,38.29253209829895,True
Wednesday,5,1128,427,0.37854609929078015,0.3506982532958471,0.40721840217961874,37.854609929078016,35.06982532958471,40.721840217961876,True
Wednesday,6,2005,784,0.3910224438902743,0.3698903058860923,0.4125713874599634,39.10224438902743,36.989030588609225,41.25713874599634,True
Wednesday,7,2928,1169,0.39924863387978143,0.3816523538919544,0.41710894344416366,39.92486338797814,38.16523538919544,41.71089434441637,True
Wednesday,8,4233,1654,0.39073942830144104,0.3761461895926277,0.4055308030048769,39.073942830144105,37.61461895926277,40.55308030048769,True
Wednesday,9,3453,1325,0.3837242977121344,0.3676418622695047,0.40006516833322836,38.37242977121344,36.76418622695047,40.006516833322834,True
Wednesday,10,3261,1201,0.3682919349892671,0.3519007060868117,0.38499311442809475,36.82919349892671,35.19007060868117,38.49931144280948,True
Wednesday,11,3366,1276,0.3790849673202614,0.36284140761212746,0.3956042119089799,37.908496732026144,36.28414076121275,39.56042119089799,True
Wednesday,12,3510,1377,0.3923076923076923,0.3762806616606964,0.4085701978658116,39.23076923076923,37.628066166069644,40.85701978658116,True
Wednesday,13,3676,1512,0.41131664853101196,0.3955099342839318,0.427308526162844,41.1316648531012,39.55099342839318,42.730852616284395,True
Wednesday,14,4282,1715,0.40051377860812704,0.38593247118206647,0.4152734343278337,40.05137786081271,38.59324711820665,41.52734343278337,True
Wednesday,15,4550,1933,0.4248351648351648,0.4105411094667354,0.43925603762770893,42.48351648351648,41.05411094667354,43.92560376277089,True
Wednesday,16,4695,2004,0.4268370607028754,0.4127540999919277,0.4410396520681546,42.68370607028754,41.27540999919277,44.10396520681546,True
Wednesday,17,4634,2100,0.45317220543806647,0.43888394848979145,0.4675380388415569,45.31722054380665,43.888394848979146,46.753803884155694,True
Wednesday,18,4233,1897,0.44814552326954876,0.43321781337876447,0.4631672674323755,44.814552326954875,43.321781337876445,46.31672674323755,True
Wednesday,19,3593,1681,0.46785416086835513,0.4515817611379642,0.48419522720647656,46.78541608683551,45.15817611379642,48.419522720647656,True
Wednesday,20,2866,1312,0.4577808792742498,0.43960912501754124,0.47606566344465123,45.778087927424984,43.96091250175412,47.60656634446512,True
Wednesday,21,2578,1227,0.4759503491078355,0.4567215745436008,0.49525069207414973,47.59503491078355,45.67215745436008,49.52506920741497,True
Wednesday,22,2417,1068,0.44187008688456764,0.42217931396169417,0.4617453509151817,44.187008688456764,42.21793139616942,46.17453509151817,True
Wednesday,23,2036,850,0.4174852652259332,0.3962392073014242,0.4390421204251993,41.74852652259332,39.62392073014242,43.90421204251993,True
Thursday,0,2772,1116,0.4025974025974026,0.3844873803370854,0.4209770236836628,40.25974025974026,38.44873803370854,42.09770236836628,True
Thursday,1,1238,420,0.3392568659127625,0.31341622652825474,0.36609201349205056,33.925686591276246,31.341622652825475,36.60920134920506,True
Thursday,2,906,291,0.3211920529801324,0.29159669744609595,0.3522973605965348,32.11920529801324,29.159669744609594,35.22973605965348,True
Thursday,3,789,272,0.34474017743979724,0.31240010008827107,0.3785848330938425,34.47401774397972,31.240010008827106,37.85848330938425,True
Thursday,4,877,272,0.31014823261117447,0.28041792992038345,0.34153453009058793,31.014823261117446,28.041792992038346,34.153453009058794,True
Thursday,5,1136,402,0.3538732394366197,0.3266015475400637,0.382129911287198,35.38732394366197,32.66015475400637,38.2129911287198,True
Thursday,6,1958,745,0.3804902962206333,0.35923880304335165,0.4022098276717886,38.04902962206333,35.923880304335164,40.22098276717886,True
Thursday,7,2884,1172,0.406380027739251,0.3885902479275733,0.42441888664545874,40.6380027739251,38.85902479275733,42.44188866454587,True
Thursday,8,4286,1630,0.38030797946803546,0.36588726188179355,0.39494306807724266,38.030797946803546,36.58872618817936,39.494306807724264,True
Thursday,9,3592,1300,0.3619153674832962,0.3463550084917371,0.37777077057483804,36.191536748329625,34.63550084917371,37.7770770574838,True
Thursday,10,3343,1151,0.3443015255758301,0.32838168870604456,0.36057879272217724,34.43015255758301,32.838168870604456,36.057879272217725,True
Thursday,11,3420,1262,0.3690058479532164,0.3529889129907656,0.3853167375977429,36.90058479532164,35.298891299076566,38.531673759774286,True
Thursday,12,3637,1362,0.37448446521858675,0.35889494704298597,0.3903388564820011,37.44844652185868,35.8894947042986,39.03388564820011,True
Thursday,13,3539,1403,0.396439672223792,0.38044403846913677,0.41265989256746377,39.6439672223792,38.044403846913674,41.26598925674638,True
Thursday,14,4255,1757,0.4129259694477086,0.39821686876889717,0.42779215678396687,41.29259694477086,39.821686876889714,42.77921567839669,True
Thursday,15,4468,1870,0.41853178155774395,0.4041425380357169,0.43306099797503966,41.853178155774394,40.41425380357169,43.30609979750397,True
Thursday,16,4676,1983,0.42408041060735674,0.4099831725058017,0.43830229083124805,42.40804106073568,40.99831725058017,43.830229083124806,True
Thursday,17,4749,2062,0.43419667298378606,0.42015831912251156,0.4483414011290533,43.419667298378606,42.01583191225116,44.83414011290533,True
Thursday,18,4155,1866,0.4490974729241877,0.4340270032325381,0.4642619818540784,44.90974729241877,43.40270032325381,46.42619818540784,True
Thursday,19,3685,1668,0.4526458616010855,0.43663217910975,0.46875817432803385,45.26458616010855,43.663217910975,46.87581743280339,True
Thursday,20,3135,1441,0.45964912280701753,0.44226341513885353,0.4771336006264528,45.96491228070175,44.22634151388535,47.71336006264528,True
Thursday,21,2659,1230,0.4625799172621286,0.4436958414596264,0.48157196267862934,46.25799172621286,44.36958414596264,48.157196267862936,True
Thursday,22,2462,1106,0.44922826969943136,0.429673929749837,0.4689408068982917,44.92282696994314,42.967392974983696,46.894080689829174,True
Thursday,23,2208,892,0.40398550724637683,0.38370172735212854,0.4246028094646129,40.39855072463768,38.370172735212854,42.46028094646129,True
Friday,0,3192,1276,0.39974937343358397,0.38288609181802113,0.4168536700024647,39.9749373433584,38.288609181802116,41.68536700024647,True
Friday,1,1460,492,0.336986301369863,0.3131957739831125,0.3616324314729969,33.6986301369863,31.31957739831125,36.16324314729969,True
Friday,2,1198,385,0.32136894824707846,0.29553087795696065,0.34834898108602813,32.136894824707845,29.553087795696065,34.834898108602815,True
Friday,3,974,315,0.32340862422997946,0.2947743943629066,0.3534303864523092,32.340862422997944,29.47743943629066,35.34303864523092,True
Friday,4,1099,367,0.33393994540491356,0.30667743748395404,0.3623593489412225,33.393994540491356,30.667743748395402,36.23593489412225,True
Friday,5,1238,404,0.3263327948303716,0.3007863907941955,0.3529536675191997,32.63327948303716,30.07863907941955,35.29536675191997,True
Friday,6,2010,768,0.382089552238806,0.36109116594108615,0.40353778998076995,38.2089552238806,36.10911659410861,40.353778998077,True
Friday,7,2843,1090,0.38339781920506505,0.36569363672339705,0.40141669354576853,38.3397819205065,36.569363672339705,40.141669354576855,True
Friday,8,4052,1528,0.3770977295162882,0.36229768136485707,0.3921305980827427,37.70977295162882,36.22976813648571,39.21305980827427,True
Friday,9,3488,1249,0.3580848623853211,0.34233790209059506,0.37414408265922855,35.80848623853211,34.23379020905951,37.41440826592285,True
Friday,10,3247,1157,0.35632891900215585,0.34003456841570806,0.37296282893518107,35.63289190021558,34.00345684157081,37.296282893518104,True
Friday,11,3417,1260,0.3687445127304653,0.3527232906373379,0.3850605342553435,36.87445127304653,35.27232906373379,38.50605342553435,True
Friday,12,3948,1530,0.38753799392097266,0.37245709128160004,0.40283754603382266,38.753799392097264,37.24570912816,40.28375460338226,True
Friday,13,3935,1605,0.4078780177890724,0.3926199288496297,0.4233158021023334,40.78780177890724,39.26199288496297,42.33158021023334,True
Friday,14,4402,1896,0.4307133121308496,0.41615178540664743,0.4453956655956764,43.07133121308496,41.61517854066474,44.53956655956764,True
Friday,15,4735,2062,0.435480464625132,0.4214156261989878,0.4496499101548757,43.5480464625132,42.14156261989878,44.96499101548757,True
Friday,16,4966,2092,0.4212645992750705,0.4075974824124106,0.4350534382929898,42.12645992750705,40.75974824124106,43.50534382929898,True
Friday,17,4907,2122,0.4324434481353169,0.41863989277839864,0.44635269830822893,43.24434481353169,41.86398927783986,44.63526983082289,True
Friday,18,4311,1889,0.438181396427743,0.42343166475512833,0.45304120507165746,43.8181396427743,42.34316647551283,45.30412050716575,True
Friday,19,3894,1707,0.43836671802773497,0.4228501512079098,0.45400477280952595,43.836671802773495,42.28501512079098,45.40047728095259,True
Friday,20,3375,1511,0.4477037037037037,0.43099612645779434,0.46453019830392284,44.77037037037037,43.09961264577943,46.453019830392286,True
Friday,21,3258,1407,0.43186003683241253,0.4149410812363347,0.4489394946935326,43.18600368324125,41.494108123633474,44.89394946935326,True
Friday,22,3090,1330,0.43042071197411,0.4130594945058897,0.4479547216065318,43.042071197411005,41.30594945058897,44.79547216065318,True
Friday,23,3001,1151,0.38353882039320225,0.36630094948396474,0.40107447556339876,38.353882039320226,36.630094948396476,40.10744755633988,True
Saturday,0,3880,1414,0.36443298969072163,0.34943035887816926,0.37970380560474887,36.44329896907216,34.943035887816926,37.97038056047489,True
Saturday,1,2593,903,0.34824527574238334,0.330144490861804,0.3667950529286221,34.82452757423833,33.0144490861804,36.67950529286221,True
Saturday,2,2218,749,0.33769161406672676,0.3183054339741563,0.3576390617990798,33.76916140667268,31.830543397415628,35.76390617990798,True
Saturday,3,2140,711,0.3322429906542056,0.3126026311961046,0.35248456554455004,33.22429906542056,31.26026311961046,35.248456554455004,True
Saturday,4,2290,766,0.33449781659388644,0.315464625343203,0.35408535578888556,33.44978165938864,31.546462534320302,35.408535578888554,True
Saturday,5,1825,606,0.3320547945205479,0.3108201255059394,0.35399502305586067,33.205479452054796,31.08201255059394,35.39950230558607,True
Saturday,6,1646,543,0.3298906439854192,0.307595459532294,0.35297801612742996,32.98906439854192,30.7595459532294,35.297801612742994,True
Saturday,7,1604,537,0.334788029925187,0.31211195044413304,0.3582535880516989,33.4788029925187,31.211195044413305,35.82535880516989,True
