crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,off_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
2021-01-01T00:00:00.000,1:02,MANHATTAN,10029.0,40.78744,-73.94478,"(40.78744, -73.94478)",2 AVENUE                        ,EAST 101 STREET,,2,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4380810,Taxi,,,,
2021-01-01T00:00:00.000,1:00,QUEENS,11364.0,40.755398,-73.75439,"(40.755398, -73.75439)",CLOVERDALE BOULEVARD            ,53 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4380812,Sedan,UNKNOWN,,,
2021-01-01T00:00:00.000,1:05,,,40.667313,-73.73926,"(40.667313, -73.73926)",LAURELTON PARKWAY               ,,,3,0,0,0,0,0,3,0,Passing or Lane Usage Improper,Unspecified,,,,4380813,Station Wagon/Sport Utility Vehicle,,,,
2021-01-01T00:00:00.000,14:45,QUEENS,11422.0,40.670815,-73.7304,"(40.670815, -73.7304)",135 AVENUE                      ,245 STREET,,1,0,0,0,0,0,1,0,View Obstructed/Limited,Unspecified,,,,4380816,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2021-01-01T00:00:00.000,10:40,,,40.766815,-73.83038,"(40.766815, -73.83038)",137 STREET                      ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4380818,Ambulance,Station Wagon/Sport Utility Vehicle,,,
2021-01-01T00:00:00.000,8:00,,,40.75603,-73.799866,"(40.75603, -73.799866)",45 AVENUE                       ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,Unspecified,,,4380819,Sedan,Station Wagon/Sport Utility Vehicle,,,
2021-01-01T00:00:00.000,1:05,QUEENS,11372.0,40.74694,-73.89051,"(40.74694, -73.89051)",75 STREET                       ,ROOSEVELT AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4380823,Station Wagon/Sport Utility Vehicle,,,,
2021-01-01T00:00:00.000,8:40,QUEENS,11369.0,,,,,,107-02    GRAND CENTRAL PARKWAY         ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4380825,Sedan,Sedan,,,
2021-01-01T00:00:00.000,4:50,QUEENS,11368.0,40.757034,-73.87133,"(40.757034, -73.87133)",NORTHERN BOULEVARD              ,97 STREET,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,4380826,Sedan,Station Wagon/Sport Utility Vehicle,,,
2021-01-01T00:00:00.000,17:00,QUEENS,11413.0,40.67581,-73.739555,"(40.67581, -73.739555)",FRANCIS LEWIS BOULEVARD         ,MERRICK BOULEVARD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4380827,Sedan,E-Scooter,,,
2021-01-01T00:00:00.000,9:15,BROOKLYN,11228.0,40.610588,-74.01274,"(40.610588, -74.01274)",BENSON AVENUE                   ,BAY 7 STREET,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,4380828,Sedan,Sedan,,,
2021-01-01T00:00:00.000,4:08,BROOKLYN,11211.0,40.71634,-73.950645,"(40.71634, -73.950645)",,,235       MEEKER AVENUE                 ,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,4380829,Sedan,Sedan,,,
2021-01-01T00:00:00.000,6:15,BROOKLYN,11222.0,40.7277,-73.94609,"(40.7277, -73.94609)",,,17A       MOULTRIE STREET               ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4380830,Sedan,,,,
2021-01-01T00:00:00.000,16:20,,,40.697525,-73.746826,"(40.697525, -73.746826)",116 AVENUE                      ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4380833,Sedan,Sedan,,,
2021-01-01T00:00:00.000,16:10,,,40.679737,-73.76162,"(40.679737, -73.76162)",FARMERS BOULEVARD               ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4380834,Sedan,Station Wagon/Sport Utility Vehicle,,,
2021-01-01T00:00:00.000,19:30,QUEENS,11422.0,40.665558,-73.72985,"(40.665558, -73.72985)",SUNRISE HIGHWAY                 ,HOOK CREEK BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4380836,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2021-01-01T00:00:00.000,0:05,QUEENS,11691.0,,,,,,146       BEACH 27 STREET               ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4380837,Sedan,,,,
2021-01-01T00:00:00.000,6:50,,,40.856743,-73.917625,"(40.856743, -73.917625)",MAJOR DEEGAN EXPRESSWAY         ,,,3,0,0,0,0,0,3,0,Unsafe Speed,Tinted Windows,Unspecified,Unspecified,Unspecified,4380839,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Sedan
2021-01-01T00:00:00.000,11:45,BRONX,10472.0,40.828533,-73.87968,"(40.828533, -73.87968)",,,1508      WESTCHESTER AVENUE            ,0,0,0,0,0,0,0,0,Fell Asleep,,,,,4380841,Station Wagon/Sport Utility Vehicle,,,,
2021-01-01T00:00:00.000,20:05,,,40.748974,-74.00324,"(40.748974, -74.00324)",WEST 25 STREET                  ,,,1,0,0,0,0,0,1,0,Accelerator Defective,Unspecified,,,,4380843,Sedan,Sedan,,,
2021-01-01T00:00:00.000,18:01,BROOKLYN,11218.0,,,,OCEAN PARKWAY                   ,CORTELYOU ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4380845,Sedan,Sedan,,,
2021-01-01T00:00:00.000,14:20,BROOKLYN,11218.0,40.64185,-73.979256,"(40.64185, -73.979256)",,,508       MC DONALD AVENUE              ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4380846,Sedan,Sedan,,,
2021-01-01T00:00:00.000,19:00,QUEENS,11363.0,40.76229,-73.75711,"(40.76229, -73.75711)",NORTHERN BOULEVARD              ,CROSS ISLAND PARKWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4380847,Sedan,,,,
2021-01-01T00:00:00.000,14:00,BROOKLYN,11204.0,40.61572,-73.97837,"(40.61572, -73.97837)",,,2223      61 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4380848,Sedan,,,,
2021-01-01T00:00:00.000,21:08,BROOKLYN,11236.0,40.63889,-73.91204,"(40.63889, -73.91204)",GLENWOOD ROAD                   ,EAST 84 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4380851,Sedan,,,,
2021-01-01T00:00:00.000,5:45,BROOKLYN,11230.0,40.622997,-73.975685,"(40.622997, -73.975685)",,,1225      MC DONALD AVENUE              ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4380856,Station Wagon/Sport Utility Vehicle,Sedan,,,
2021-01-01T00:00:00.000,10:50,,,40.846466,-73.87123,"(40.846466, -73.87123)",BRONX RIVER PARKWAY             ,,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,Unspecified,,,4380858,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
2021-01-01T00:00:00.000,16:25,QUEENS,11358.0,40.77204,-73.79237,"(40.77204, -73.79237)",UTOPIA PARKWAY                  ,28 AVENUE,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,,,4380859,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
2021-01-01T00:00:00.000,22:02,,,40.738403,-73.80272,"(40.738403, -73.80272)",LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Pavement Slippery,,,,,4380860,Sedan,,,,
2021-01-01T00:00:00.000,5:30,STATEN ISLAND,10308.0,40.54958,-74.137375,"(40.54958, -74.137375)",HYLAN BOULEVARD                 ,KEEGANS LANE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4380861,Sedan,,,,
2021-01-01T00:00:00.000,6:33,STATEN ISLAND,10304.0,40.603153,-74.0978,"(40.603153, -74.0978)",SPRING STREET                   ,RIDGE AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4380862,Sedan,Pick-up Truck,,,
